userId,movieId,rating,timestamp,title,age,gender,occupation,zip
103,58,1,2024-07-28 22:05:50,Movie 58,59,M,Artist,52599
436,23,4,2024-06-09 15:57:51,Movie 23,63,M,Doctor,82146
861,54,5,2024-08-08 08:49:19,Movie 54,49,M,Engineer,24444
271,80,3,2024-08-11 20:03:46,Movie 80,52,F,Artist,63274
107,65,1,2024-05-15 19:25:49,Movie 65,61,F,Teacher,19027
72,12,2,2024-09-12 15:49:14,Movie 12,57,F,Engineer,13998
701,24,5,2024-12-29 12:22:32,Movie 24,40,F,Engineer,96501
21,34,1,2024-03-02 03:40:45,Movie 34,67,F,Engineer,29462
615,53,1,2024-07-18 00:28:22,Movie 53,53,F,Other,82008
122,8,3,2024-02-02 00:02:58,Movie 8,62,M,Artist,81640
467,18,4,2024-09-21 11:43:32,Movie 18,44,M,Doctor,97060
215,57,4,2024-01-16 17:59:14,Movie 57,49,M,Student,36025
331,5,4,2024-02-09 19:50:33,Movie 5,52,M,Teacher,47326
459,26,2,2024-07-30 15:48:03,Movie 26,67,M,Artist,44607
88,30,1,2024-02-20 18:23:07,Movie 30,31,M,Artist,91177
373,54,2,2024-03-10 10:51:51,Movie 54,42,M,Artist,81348
100,13,1,2024-12-06 10:28:13,Movie 13,53,M,Other,98297
872,83,3,2024-06-04 10:44:18,Movie 83,57,F,Doctor,41752
664,29,3,2024-01-17 13:14:58,Movie 29,29,F,Student,34415
131,3,2,2024-10-02 04:54:18,Movie 3,44,F,Teacher,88218
662,90,2,2024-08-30 02:52:58,Movie 90,36,F,Teacher,33109
309,58,3,2024-11-26 00:06:31,Movie 58,49,M,Artist,36358
770,76,5,2024-01-10 16:52:41,Movie 76,24,F,Student,98950
344,2,4,2024-01-15 17:44:12,Movie 2,52,M,Doctor,35511
492,75,4,2024-11-16 20:52:09,Movie 75,58,F,Teacher,81752
414,28,3,2024-02-24 16:57:58,Movie 28,33,F,Teacher,31123
806,82,4,2024-02-05 14:47:18,Movie 82,21,M,Teacher,73238
386,77,5,2024-10-28 12:31:05,Movie 77,54,M,Doctor,95559
192,86,5,2024-09-17 04:16:17,Movie 86,36,M,Other,84371
956,76,1,2024-05-18 12:32:11,Movie 76,21,M,Doctor,28318
277,2,2,2024-09-13 22:22:17,Movie 2,38,M,Student,19782
161,7,4,2024-07-12 20:31:06,Movie 7,69,M,Teacher,54326
460,26,5,2024-06-08 03:24:57,Movie 26,40,F,Other,83211
314,90,2,2024-05-25 11:25:49,Movie 90,36,F,Other,32287
22,88,2,2024-06-27 03:21:42,Movie 88,46,M,Engineer,94149
253,76,1,2024-08-26 08:54:20,Movie 76,67,F,Doctor,72681
748,16,2,2024-06-22 21:32:51,Movie 16,41,M,Teacher,98717
857,23,2,2024-12-22 07:07:40,Movie 23,34,F,Engineer,24627
561,40,3,2024-05-31 04:21:59,Movie 40,67,M,Student,18137
475,60,1,2024-04-03 23:02:31,Movie 60,52,M,Teacher,75498
59,73,1,2024-08-19 19:24:21,Movie 73,40,M,Artist,68524
511,32,4,2024-06-15 14:30:36,Movie 32,26,F,Other,33872
682,15,2,2024-06-05 18:29:31,Movie 15,64,M,Teacher,79807
476,13,4,2024-11-30 06:37:22,Movie 13,44,F,Engineer,54572
700,5,5,2024-07-08 16:40:05,Movie 5,68,F,Teacher,88191
976,75,2,2024-12-03 15:56:37,Movie 75,42,F,Artist,16369
783,74,5,2024-04-06 23:11:46,Movie 74,18,F,Doctor,86709
190,52,3,2024-05-27 08:22:02,Movie 52,28,M,Doctor,88150
958,77,2,2024-11-18 21:53:39,Movie 77,47,M,Other,79880
687,41,4,2024-04-12 07:55:26,Movie 41,68,F,Artist,34152
958,53,4,2024-09-09 10:28:17,Movie 53,47,M,Other,79880
563,50,2,2024-11-21 21:42:08,Movie 50,40,F,Doctor,94970
876,15,4,2024-03-13 23:47:45,Movie 15,36,F,Artist,11133
567,7,2,2024-01-10 10:51:18,Movie 7,60,M,Engineer,58364
244,40,1,2024-11-05 19:14:33,Movie 40,20,M,Engineer,78761
832,28,4,2024-05-25 05:11:11,Movie 28,23,F,Doctor,13911
505,32,2,2024-10-28 19:38:44,Movie 32,33,F,Student,23259
131,99,2,2024-05-22 03:19:11,Movie 99,44,F,Teacher,88218
485,15,4,2024-01-05 00:50:32,Movie 15,37,F,Engineer,37033
819,100,1,2024-06-19 10:45:06,Movie 100,47,M,Student,10141
647,85,4,2024-03-07 20:32:33,Movie 85,38,M,Doctor,57769
21,70,2,2024-08-01 03:07:26,Movie 70,67,F,Engineer,29462
841,65,1,2024-02-23 07:49:23,Movie 65,45,F,Artist,27677
167,4,5,2024-06-28 05:06:41,Movie 4,34,F,Artist,66173
274,11,3,2024-10-06 00:13:14,Movie 11,30,M,Artist,57604
388,26,4,2024-07-22 14:34:30,Movie 26,46,F,Teacher,43328
601,61,2,2024-08-17 18:51:21,Movie 61,35,M,Artist,77089
316,37,1,2024-02-20 16:33:57,Movie 37,53,F,Student,55805
14,23,1,2024-09-13 13:40:07,Movie 23,34,M,Engineer,86705
242,93,5,2024-05-01 06:55:24,Movie 93,63,M,Doctor,14907
777,85,4,2024-09-21 21:25:24,Movie 85,60,M,Teacher,44207
346,91,1,2024-02-25 11:22:57,Movie 91,37,M,Engineer,49224
565,40,5,2024-03-10 08:50:04,Movie 40,46,M,Doctor,20397
898,77,2,2024-02-21 02:35:47,Movie 77,35,F,Other,75181
340,23,5,2024-05-02 04:13:52,Movie 23,20,M,Other,85962
92,16,4,2024-01-02 22:14:09,Movie 16,47,F,Student,97288
367,94,5,2024-03-25 17:52:19,Movie 94,22,M,Doctor,23891
956,61,1,2024-07-07 03:47:17,Movie 61,21,M,Doctor,28318
455,68,1,2024-03-25 18:27:31,Movie 68,28,M,Teacher,39196
428,80,3,2024-03-27 15:26:11,Movie 80,64,F,Teacher,72015
509,31,5,2024-10-02 07:58:37,Movie 31,44,M,Other,84630
776,53,2,2024-12-04 07:24:10,Movie 53,24,M,Engineer,96880
943,25,4,2024-01-01 16:15:27,Movie 25,46,F,Engineer,55461
35,44,3,2024-08-02 01:55:21,Movie 44,35,F,Other,45158
206,12,5,2024-04-28 01:48:01,Movie 12,18,F,Artist,64850
